data	data	Argentina	Brazil	South_x0020_America_x0020__x0028_other_x0029_	Caribbean	Central_x0020_America	USA	Mexico	Canada	North_x0020_America_x0020__x0028_other_x0029_	European_x0020_Union	Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Northern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Southern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Switzerland	Central_x0020_Asia	Iran	Russia	Western_x0020_Asia	China	Korea	Mongolia	Japan	India	South_x002D_Eastern_x0020_Asia	Southern_x0020_Asia_x0020__x0028_other_x0029_	Eastern_x0020_Africa	Middle_x0020_Africa	Southern_x0020_Africa	Western_x0020_Africa	Algeria	Egypt	Morocco	Northern_x0020_Africa_x0020__x0028_other_x0029_	Australia_x0020_and_x0020_New_x0020_Zealand	Micronesia	Melanesia	Polynesia	
1	Argentina	0	21297	2392071	28907	944	24655	969	265	0	313707	229	611	1586	599	0	1087944	1347	993763	564	167348	0	192021	15784	824101	429	69609	22506	630	95698	1052857	827726	379772	18038	246	0	0	0
2	Brazil	1803	0	1016679	12615	62	2416	1458	0	0	270689	0	0	0	2	0	1767387	0	1034684	1457914	597977	0	269438	0	1235717	54	2	33506	27500	27506	258958	0	417867	76626	0	0	0	0
3	South_x0020_America_x0020__x0028_other_x0029_	28542	1210140	0	25014	231	44959	485	208	0	44345	0	0	0	124223	0	0	0	24	528	0	0	1431	0	1375	18	0	0	922	6047	52944	0	26565	0	0	0	0	0
4	Caribbean	0	0	9186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Central_x0020_America	16	0	12	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	USA	1338	592	3528324	2015630	2523384	0	7199945	1927831	42	41224	1590	805	183	163	85	64292	2537	1610137	7882204	6058707	0	15264930	1505	195859	2881	195535	23340	658	88	95250	2276249	707650	117634	122	0	0	3780
7	Mexico	4	0	279567	40	2055	7557	0	4	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
8	Canada	0	0	0	217	7	163584	0	0	2	3911	707	8490	0	0	0	0	1315	18168	0	0	0	0	0	0	0	0	0	0	0	16500	19131	0	20	0	0	0	0
9	North_x0020_America_x0020__x0028_other_x0029_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	European_x0020_Union	29	0	305	1	0	216	19	23	12	0	11004	45833	22239	67919	24	60	7784	370270	128	325280	0	1355	0	27	1164	1161	14666	132	20837	124980	61309	14295	115996	23	0	2	0
11	Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	0	0	0	1618	0	0	0	815296	0	0	5258	25713	15368	649117	18238	2016599	40	125832	0	293443	0	93361	0	123281	0	0	0	348667	1628560	97838	847904	0	0	0	0
