data	data	data	Argentina	Brazil	South_x0020_America_x0020__x0028_other_x0029_	Caribbean	Central_x0020_America	USA	Mexico	Canada	North_x0020_America_x0020__x0028_other_x0029_	European_x0020_Union	Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Northern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Southern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Switzerland	Central_x0020_Asia	Iran	Russia	Western_x0020_Asia	China	Korea	Japan	India	South_x002D_Eastern_x0020_Asia	Southern_x0020_Asia_x0020__x0028_other_x0029_	Eastern_x0020_Africa	Middle_x0020_Africa	Southern_x0020_Africa	Western_x0020_Africa	Algeria	Egypt	Morocco	Northern_x0020_Africa_x0020__x0028_other_x0029_	Australia_x0020_and_x0020_New_x0020_Zealand	Micronesia	Melanesia	Polynesia	
28	27122770	Eastern_x0020_Africa	0	0	0	510	0	0	0	5000	0	62508	0	0	0	239	0	0	0	11508	716	25	0	28	3000	0	0	2673	97865	1	0	0	0	6553	0	0	0	0
29	4637562	Middle_x0020_Africa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	10850750	Southern_x0020_Africa	22	0	31000	0	0	1	1131916	1	0	209780	0	0	0	0	0	40000	0	28409	331740	750471	48960	0	6062	28	133723	2775	0	13637	0	433	0	11	60	0	0	0
31	16652962	Western_x0020_Africa	0	0	0	0	0	0	0	0	0	2348	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0
32	3198383	Algeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	12982669	Egypt	0	0	0	0	0	0	0	0	0	177	0	0	297	0	0	0	0	1438	0	0	0	0	0	0	0	0	0	0	0	0	62	279	0	0	0	0
34	1766583	Morocco	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	1113465	Northern_x0020_Africa_x0020__x0028_other_x0029_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	573193	Australia_x0020_and_x0020_New_x0020_Zealand	0	0	0	0	0	5	0	0	0	885	0	0	0	0	0	0	0	12	4	33721	9176	0	42	1	0	0	18	0	0	0	0	0	0	1	3240	11
37	205	Micronesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	17102	Melanesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1
39	5864	Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
