data	data	Argentina	Brazil	South_x0020_America_x0020__x0028_other_x0029_	Caribbean	Central_x0020_America	USA	Mexico	Canada	North_x0020_America_x0020__x0028_other_x0029_	European_x0020_Union	Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Northern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Southern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Switzerland	Central_x0020_Asia	Iran	Russia	Western_x0020_Asia	China	Korea	Japan	India	South_x002D_Eastern_x0020_Asia	Southern_x0020_Asia_x0020__x0028_other_x0029_	Eastern_x0020_Africa	Middle_x0020_Africa	Southern_x0020_Africa	Western_x0020_Africa	Algeria	Egypt	Morocco	Northern_x0020_Africa_x0020__x0028_other_x0029_	Australia_x0020_and_x0020_New_x0020_Zealand	Micronesia	Melanesia	Polynesia	
1	Argentina	0	36659	4794322	308239	82637	28644	54	276	0	417627	408	395	446	0	0	720394	737	1851949	283092	2038	442225	8380	2785497	2876	94663	22517	1143	91820	1966156	1178201	663626	150116	915	0	0	0
2	Brazil	3425	0	688867	323367	40	21331	339	0	0	1123360	0	0	0	0	0	1905670	0	596475	2391100	131022	734505	0	888405	325	0	11833	48198	14054	691958	446839	578739	82614	0	0	0	0
3	South_x0020_America_x0020__x0028_other_x0029_	399	0	0	10	108	38995	121	39	0	13172	0	0	0	9	0	0	5	80	398	0	1091	0	0	1032	0	0	28	0	0	0	0	0	1	0	18	0
4	Caribbean	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Central_x0020_America	0	0	190	8	0	19	332	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
6	USA	1341	238	1640444	1527029	2846727	0	8664821	974566	14	834001	2243	7123	268	266	84	67471	5165	1824184	10964970	5996436	12972120	28	452701	5458	920	40	690	157	0	2326339	188713	62720	173	0	0	3308
7	Mexico	1	2	58614	22	37158	5084	0	8	0	117	0	2	2	1	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	1	0	0	1	0	0	0
8	Canada	0	0	0	160	0	527328	54997	0	2	349100	1023	11375	0	0	0	0	86	59711	0	0	508	0	0	0	0	3	0	0	0	40500	0	25000	0	0	0	0
9	North_x0020_America_x0020__x0028_other_x0029_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	European_x0020_Union	23	0	525	0	0	401	1	48	15	0	44385	50078	36136	133541	45	24772	20105	750527	22436	164638	89374	1	331	1325	15	2734	92601	23577	204699	308781	55316	128306	108	0	3	0
