data	data	data	Argentina	Brazil	South_x0020_America_x0020__x0028_other_x0029_	Caribbean	Central_x0020_America	USA	Mexico	Canada	North_x0020_America_x0020__x0028_other_x0029_	European_x0020_Union	Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Northern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Southern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Switzerland	Central_x0020_Asia	Iran	Russia	Western_x0020_Asia	China	Korea	Mongolia	Japan	India	South_x002D_Eastern_x0020_Asia	Southern_x0020_Asia_x0020__x0028_other_x0029_	Eastern_x0020_Africa	Middle_x0020_Africa	Southern_x0020_Africa	Western_x0020_Africa	Algeria	Egypt	Morocco	Northern_x0020_Africa_x0020__x0028_other_x0029_	Australia_x0020_and_x0020_New_x0020_Zealand	Micronesia	Melanesia	Polynesia	
27	4093142	Southern_x0020_Asia_x0020__x0028_other_x0029_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	16034981	Eastern_x0020_Africa	0	0	0	0	0	0	0	0	0	7316	0	1	1	0	0	0	0	26	0	0	0	0	0	0	0	0	10098	3687	0	0	0	0	103	0	0	0	0
29	2685522	Middle_x0020_Africa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	8103689	Southern_x0020_Africa	222	65	516	0	0	323	0	0	0	2261	0	0	538	65	0	215	172	4038	370	0	0	435916	65	2345	504	136348	33264	0	2444	215	323	753	343	10	0	0	0
31	8902789	Western_x0020_Africa	0	0	0	0	0	4	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
32	1572531	Algeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	11314632	Egypt	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	335	0	0	0	0	0	0	500	0	0	0	0	0	0	0	164	0	0	0	0
34	884897	Morocco	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	994229	Northern_x0020_Africa_x0020__x0028_other_x0029_	0	0	0	0	0	0	0	0	0	0	0	0	0	2400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	522404	Australia_x0020_and_x0020_New_x0020_Zealand	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	497	15016	8664	0	5759	0	341	5722	32	0	20	0	0	0	0	30	0	4	237	2448
37	96	Micronesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	14320	Melanesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	5951	Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
