data	Argentina	Brazil	South_x0020_America_x0020__x0028_other_x0029_	Caribbean	Central_x0020_America	USA	Mexico	Canada	North_x0020_America_x0020__x0028_other_x0029_	European_x0020_Union	Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Northern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Southern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Switzerland	Central_x0020_Asia	Iran	Russia	Western_x0020_Asia	China	Korea	Mongolia	Japan	India	South_x002D_Eastern_x0020_Asia	Southern_x0020_Asia_x0020__x0028_other_x0029_	Eastern_x0020_Africa	Middle_x0020_Africa	Southern_x0020_Africa	Western_x0020_Africa	Algeria	Egypt	Morocco	Northern_x0020_Africa_x0020__x0028_other_x0029_	Australia_x0020_and_x0020_New_x0020_Zealand	Melanesia	Polynesia	
Argentina	0	4730065	936266	101252	0	0	0	0	0	87586	0	0	0	272	0	0	0	671338	0	0	0	0	0	569858	596001	594092	216619	610596	202151	180935	709761	103526	120827	0	0	0
Brazil	0	0	18	0	2	0	0	221	0	57124	0	0	0	0	0	0	0	15950	0	55000	0	3	0	24750	0	3500	2	0	0	0	0	0	0	0	0	0
South_x0020_America_x0020__x0028_other_x0029_	70	540126	0	2000	3149	22	0	0	0	57004	0	0	0	5239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23767	0	1140	0	0	0	0
Caribbean	0	0	0	0	0	3982	0	0	0	3450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Central_x0020_America	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USA	0	29799	2506303	1236073	1215664	0	2890775	15773	0	1336854	102	6883	6402	205	0	0	0	2300880	2818248	1174005	25000	2977354	0	2401956	290972	996670	90831	284452	3296798	235779	1358783	18138	316272	409	0	128
Mexico	0	0	0	16456	180	9877	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	368061	0	0	0	0	0	0
Canada	0	0	1750176	347805	154579	1271128	822621	0	0	1852566	0	3115	0	42908	0	0	0	46570	2294266	1143400	6	1237785	0	1556809	744939	112908	51466	10000	448207	325082	0	518796	286796	50165	0	0
North_x0020_America_x0020__x0028_other_x0029_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
European_x0020_Union	68	0	19	16792	0	222	0	108	5	0	125780	155431	462409	150460	2	0	4424	1019488	515798	47966	1025	3073	1	46800	91045	172070	405344	180570	1160108	3451868	1080726	1191936	648333	16	402	0
Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	36490	0	11296	13508	0	0	0	2202583	0	0	28038	10015	285	0	2344	833713	0	348235	0	0	0	544316	80734	245598	13817	49067	119359	353078	142414	324510	685492	0	0	0
Northern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Southern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	0	0	0	1	0	0	0	208	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Switzerland	1	0	0	0	0	0	0	0	0	72	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Central_x0020_Asia	0	0	0	0	0	0	0	0	0	268713	49000	44690	0	0	0	0	588277	346949	0	0	51051	0	0	0	50169	58583	0	0	0	0	0	0	0	0	0	0
Iran	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Russia	0	0	0	0	0	0	0	0	0	826501	23905	1766	295782	21204	5982	92567	0	3145741	0	0	31818	0	0	196785	832486	483347	0	0	11201	629752	2879066	448714	340813	0	0	0
Western_x0020_Asia	0	9	0	0	0	5	0	0	0	94546	2674	1	85	9	4	3	11447	0	0	0	0	0	0	0	0	768	3	0	20	128032	48270	0	58300	5	0	0
China	0	0	0	0	0	116	0	18	0	0	0	0	0	0	0	0	600	0	0	22530	10000	34016	0	453428	0	0	0	0	0	0	0	0	0	0	2	0
Korea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mongolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Japan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
India	0	0	0	0	0	347	0	15	0	704	0	0	0	0	0	0	0	18277	16	0	0	43	0	111498	595506	2694	4	50	37	0	48	52	16800	90	0	0
South_x002D_Eastern_x0020_Asia	0	0	0	0	0	22	0	0	0	8	0	0	0	0	0	0	0	0	54	0	0	7	0	0	26	0	0	0	26	0	0	0	0	0	0	0
Southern_x0020_Asia_x0020__x0028_other_x0029_	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	10076	0	0	0	0	0	0	0	0	0	0	0	0
