data	Argentina	Brazil	South_x0020_America_x0020__x0028_other_x0029_	Caribbean	Central_x0020_America	USA	Mexico	Canada	European_x0020_Union	Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Northern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Southern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Switzerland	Central_x0020_Asia	Iran	Russia	Western_x0020_Asia	China	Korea	Mongolia	Japan	India	South_x002D_Eastern_x0020_Asia	Southern_x0020_Asia_x0020__x0028_other_x0029_	Eastern_x0020_Africa	Middle_x0020_Africa	Southern_x0020_Africa	Western_x0020_Africa	Algeria	Egypt	Morocco	Northern_x0020_Africa_x0020__x0028_other_x0029_	Australia_x0020_and_x0020_New_x0020_Zealand	Melanesia	Polynesia	
Argentina	0	5431822	457567	0	0	0	0	23	31847	0	1163	34227	1559	0	0	0	31088	0	0	0	0	0	18000	0	37397	37489	23256	9218	0	0	48283	0	0	0	0
Brazil	6	0	273	0	0	13	0	0	21450	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	28	0	0	0	0	28500	0	0	0	0
South_x0020_America_x0020__x0028_other_x0029_	3	73224	0	33928	0	22	0	22	54	0	0	0	67500	0	0	0	0	0	0	0	0	0	4650	0	0	0	0	0	0	0	0	0	4	0	0
Caribbean	0	0	1403	0	0	0	0	0	13097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Central_x0020_America	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USA	0	465297	2584516	980779	1089362	0	2653651	23667	1658324	0	5938	0	7872	1000	0	0	1172569	2132168	1324905	0	2975375	0	2011158	195800	1076412	114743	322357	1925029	225550	2891376	240354	124959	246	0	128
Mexico	25675	0	31075	11274	925	36477	0	0	26850	0	0	0	25514	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	407284	1	0	0	0	0	0
Canada	78	170135	1322213	118894	188016	817408	707378	0	2797009	122540	26415	0	7328	0	347561	0	280190	353804	121617	0	1088405	0	1121517	229391	79954	50949	0	266412	733548	124167	387085	385123	33308	0	0
European_x0020_Union	4	310622	122090	270619	0	56050	0	23	0	580982	199544	507366	213201	20	4678	17077	998522	5504	71895	5000	1775	3190	51480	280012	695377	489798	267181	1188120	2258283	1228423	1244884	699521	159878	413	0
Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	35723	3543	24937	0	2711	0	246023	0	0	1489	0	0	0	906	186219	0	53667	0	0	0	154797	0	13100	0	28962	10722	57753	7005	45426	44626	0	0	0
Northern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Southern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	0	0	0	0	0	0	37222	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Switzerland	1	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Central_x0020_Asia	0	0	0	0	0	20680	0	0	667947	1695820	17373	0	5054	0	121527	630160	1350907	0	272	10566	0	0	121021	20783	0	0	0	55443	42032	0	0	195338	0	0	0
Iran	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Russia	0	0	108728	1825	0	4002	2234	250	1829804	1113230	5387	228767	2397	10572	115451	0	2187966	0	121086	44448	0	0	89740	18	120796	10404	28646	0	356498	778976	162019	264397	0	0	0
Western_x0020_Asia	0	8	0	0	0	2	0	0	624	13	2	183	4	3	79	997	0	0	0	0	0	350	0	0	294	2	0	8	0	0	0	36301	4	0	0
China	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	52502	0	1931624	0	45406	0	2176678	209994	58760	0	0	0	0	0	0	0	0	0	0
Korea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mongolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Japan	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
India	0	0	0	0	0	1149	250	1	108	0	0	0	0	0	0	14121	844394	8248	133707	0	16	0	1010496	1909170	138043	45	14341	1607	0	0	0	21459	43	9	0
South_x002D_Eastern_x0020_Asia	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	200	0	0	7	0	0	18	0	0	0	1	0	0	0	0	2	0	0
Southern_x0020_Asia_x0020__x0028_other_x0029_	0	0	10000	0	0	0	0	0	26365	0	0	0	0	0	0	0	131776	4230	0	0	0	314	236311	0	477923	0	56345	0	0	140408	0	44849	0	0	0
Eastern_x0020_Africa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	691	2339	0	0	200	0	0	720	0	0
Middle_x0020_Africa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Southern_x0020_Africa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	56770	14	0	3	0	0	0	0	0	0	0
Western_x0020_Africa	0	0	0	0	0	131	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egypt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0
Morocco	0	0	0	0	0	0	0	0	1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Northern_x0020_Africa_x0020__x0028_other_x0029_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Australia_x0020_and_x0020_New_x0020_Zealand	0	0	130750	0	0	550	0	51	126359	0	0	0	1702	0	512752	0	1471179	247466	917650	0	1245221	0	2765280	88625	163614	0	94512	0	0	780677	0	534487	0	280848	40
Melanesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
