data	Argentina	Brazil	South_x0020_America_x0020__x0028_other_x0029_	Caribbean	Central_x0020_America	USA	Mexico	Canada	European_x0020_Union	Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Northern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Southern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	Switzerland	Central_x0020_Asia	Iran	Russia	Western_x0020_Asia	China	Korea	Mongolia	Japan	India	South_x002D_Eastern_x0020_Asia	Southern_x0020_Asia_x0020__x0028_other_x0029_	Eastern_x0020_Africa	Middle_x0020_Africa	Southern_x0020_Africa	Western_x0020_Africa	Algeria	Egypt	Morocco	Northern_x0020_Africa_x0020__x0028_other_x0029_	Australia_x0020_and_x0020_New_x0020_Zealand	Melanesia	Polynesia	
Argentina	0	6652815	801501	17100	0	3	0	0	51077	52	0	0	3080	0	1306906	0	595955	0	0	0	0	0	60500	5300	414160	0	309039	69775	292701	47120	61455	101978	0	0	0
Brazil	0	0	801	0	0	6	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
South_x0020_America_x0020__x0028_other_x0029_	97	63245	0	0	0	35	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Caribbean	0	0	3501	0	0	0	0	0	27856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Central_x0020_America	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USA	63	82383	1968516	814624	896007	0	2217467	53239	1803258	0	23834	115514	12292	0	0	0	2017494	2408518	1327583	0	3026922	134	2884959	758747	245396	59806	61281	1780938	122771	3291304	149110	304682	0	0	25
Mexico	0	0	22530	0	8834	24474	0	0	0	0	0	0	424959	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	32200	0	0	0	0	0	0
Canada	0	33807	2429700	230322	332054	2041627	1087828	0	1407720	0	78	0	50359	0	1915794	0	250751	1245346	317930	0	1632056	0	1943759	323387	74786	118960	0	634339	725339	271544	817663	343327	53053	0	0
European_x0020_Union	67	0	6031	572793	0	183	0	1	0	51360	175470	410394	166748	1194	203890	35388	680923	0	900	0	2559	0	66000	150424	296387	380289	23895	918686	2350110	789777	1707764	745134	13	580	1
Eastern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	0	0	0	24922	0	0	3018	0	0	0	0	0	0	181	1313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Northern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1822	0	0	0	0
Southern_x0020_Europe_x0020__x0028_non_x002D_EU_x0029_	0	0	0	0	0	0	0	0	14373	4	0	0	29500	1	0	0	60478	0	0	0	0	0	0	0	0	0	0	0	39972	0	23788	27383	0	0	0
Switzerland	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Central_x0020_Asia	0	0	0	1828	0	683	0	0	68287	79957	37172	0	2287	0	403850	826965	614291	0	0	34308	0	0	0	104652	0	0	0	0	0	17098	0	0	0	0	0
Iran	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Russia	0	0	0	0	0	0	0	0	677241	53942	0	14085	0	7298	0	0	574450	0	0	6197	0	0	0	0	0	0	0	0	148902	29655	101583	22160	0	0	0
Western_x0020_Asia	0	0	0	13300	0	1	0	2	221372	1000	1	100129	2	0	0	0	0	0	0	0	0	0	0	0	26229	0	0	9	81252	327453	56986	185803	3	0	0
China	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	2000	0	735936	0	390	0	157256	0	0	0	0	0	0	0	0	0	0	0	0
Korea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mongolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Japan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
India	0	0	0	0	0	5655	0	19	56	0	0	0	0	0	0	0	650324	4108	125700	0	0	0	929485	894575	500	0	6012	3001	0	0	0	32000	0	0	0
South_x002D_Eastern_x0020_Asia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7706	0	0	0	0	0	8	0	0	0	0	0	0	0	0	8	0	0
Southern_x0020_Asia_x0020__x0028_other_x0029_	0	0	0	0	0	0	0	0	0	0	0	0	0	2160	559	0	146445	0	0	0	1	0	0	0	33095	0	0	0	0	25000	0	45600	0	0	0
Eastern_x0020_Africa	3819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5095	0	0
Middle_x0020_Africa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Southern_x0020_Africa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198723	0	0	0	105304	419	0	0	0	0	0	0	0	0	0
Western_x0020_Africa	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0
Algeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egypt	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morocco	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Northern_x0020_Africa_x0020__x0028_other_x0029_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Australia_x0020_and_x0020_New_x0020_Zealand	0	0	16813	0	0	0	0	3	360337	0	318	0	1190	0	2177855	0	3654424	175806	1021241	0	1106897	3203	3576944	430658	668058	0	86410	0	38000	1374764	51850	406675	0	249066	16
Melanesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1281	0	0
Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
